slug,side,original,name,country,born,died,life,work,workDate,subtitle,paragraph,tag,link,priorSlug,nextSlug,spotTop,spotLeft
playfair4,R,images/og/playfair4.png,William Playfair,Scotland,1759,1823,"Scotland, 1759-1823",Statistical Breviary,1801,"Extent, Population & Revenues","First pie chart. Used to show area of empires across different continents. Also contains first ""Venn""-like diagram in margin to deal with complexities of German Empire. Also contains proto-slopegraph, showing changes in population.",PIE CHART,http://www.psych.utoronto.ca/users/spence/Spence%20(2006).pdf,playfair3,seaman,-79.23%,-69.15%
plot,R,images/og/plot.png,Robert Plot,England,1640,1696,"England, 1640-1696",History of the Weather,1685,Philosophical Transactions Numb: 169,Recorded barometric pressure in Oxford every day of 1684. Based on work by Martin Lister.,METEOROLOGICAL DATA,http://press.princeton.edu/chapters/s7820.pdf,adams,halley1,-110.76%,-83.40%
prichard,L,images/og/prichard.png,James Cowles Prichard,England,1786,1848,"England, 1786-1848",Ethnographical Maps,1843,Africa (1 of 6 continent maps),"First ethnographic maps, promoting 'Natural History of Man.' Africa's color key identifies 31 different races.",ETHNOGRAPHIC MAP,https://www.davidrumsey.com/luna/servlet/view/search?search=SUBMIT&q=Prichard+Natural+History+of+Man&dateRangeStart=&dateRangeEnd=&sort=pub_list_no_initialsort%2Cpub_list_no_initialsort%2Cpub_date%2Cpub_date&QuickSearchA=QuickSearchA,darwin,lalanne,-114.41%,-45.54%
priestley1,R,images/og/priestley1.png,Joseph Priestley,England,1733,1804,"England, 1733-1804",A Chart of Biography,1765,(redacted version shown),"Timeline chart in which individual bars are used to visualize the life spans of 2,000 famous people, from 1200 B.C. to 1750 A.D. The chart was a commercial success, leading to over a dozen printings, an honorary doctorate for Priestley, and widespread attention to the emerging field of data visualization.",BESTSELLER,https://retro.erudit.org//revue/lumen/1999/v18/n/1012372ar.pdf,franklin,priestley2,-121.75%,-69.09%
priestley2,R,images/og/priestley2.png,Joseph Priestley,England,1733,1804,"England, 1733-1804",A New Chart of History,1769,A View of the Principal Revolutions of Empire that have taken place in the World,"Building on the success of his Chart of Biography, Priestley shows the history of empires, illustrating his belief that the entire world's history was significant, with the goal to ""help to the knowledge of history, impressing the imagination indelibly with a just image of the rise, progress, extent, duration, and contemporary state of all the considerable empires that have ever existed in the world.""",CIVILIZATION HISTORY,https://retro.erudit.org//revue/lumen/1999/v18/n/1012372ar.pdf,priestley1,fourcroy,-114.69%,-68.78%
quetelet1,R,images/og/quetelet1.png,Adolphe Quetelet,Belgium,1796,1874,"Belgium, 1796-1874",Curves indicating the tendency to crime,1828,in men (M) and women (M'),Curves drawn from empirical data showing propensity to crime for both sexes: men peak earlier.,DEMOGRAPHIC CURVES,https://books.google.com/books?id=4ghRAAAAcAAJ&pg=PA304&lpg=PA304&dq=%22Courbes+indiquant+le+penchant+au+crime+chez+l%27homme+et+chez+la+femme%22&source=bl&ots=d3C1995SZ9&sig=Nk48XEwGMRuCCeUOrcIOhogj8x0&hl=en&sa=X&ved=0ahUKEwjfxOuipo_WAhWoj1QKHX3cBF8Q6AEIKDAA#v=onepage&q=%22Courbes%20indiquant%20le%20penchant%20au%20crime%20chez%20l'homme%20et%20chez%20la%20femme%22&f=false,gardner,guerry,-77.16%,-59.53%
quetelet2,L,images/og/quetelet2.png,Adolphe Quetelet,Belgium,1796,1874,"Belgium, 1796-1874",Normal Curve,1846,Letters on the Theory of Probability,"Results of sampling from model urns shown as symmetrical histograms, with limiting ""curve of possibility'' (later called the normal curve).",NORMAL CURVE,https://babel.hathitrust.org/cgi/pt?id=njp.32101067206977;view=1up;seq=88;size=300,lalanne,berghaus,-105.13%,-41.03%
sankey,L,images/og/sankey.png,Matthew Henry Phineas Riall Sankey,Ireland,1853,1926,"Ireland, 1853-1926",The Thermal Efficiency of Steam-Engines,1898,Proceedings of The Institution of Civil Engineers,Used Sankey diagram named (but not invented by him) in a figure showing the energy efficiency of a steam engine.,SANKEY DIAGRAM,https://en.wikipedia.org/wiki/Matthew_Henry_Phineas_Riall_Sankey#Sankey_diagram,cheysson,booth,-72.49%,-11.80%
scheiner,R,images/og/scheiner.png,Christoph Scheiner,Swabia (Germany),1573,1650,"Swabia (Germany), 1575-1650",Rosa Ursina sive Sol,1630,"Rosa Ursina, or the Sun",The motion of sunspots over time. First known use of small multiples to show a series of images in a coherent display.,SMALL MULTIPLES,http://galileo.rice.edu/sci/scheiner.html,close,langren,-139.58%,-81.53%
seaman,R,images/og/seaman.png,Valentine Seaman,USA,1770,1817,"USA, 1770-1817",Prevalence of the Yellow Fever,1797,Plate I. (of two),"First maps of the incidence of disease, using dots to show individual occurrences of yellow fever in waterfront areas of NYC.",DISEASE PREVALENCE,http://libweb5.princeton.edu/visual_materials/maps/websites/thematic-maps/quantitative/medicine/medicine.html,playfair4,maclure,-79.76%,-77.51%
serjev,L,images/og/serjev.png,Lt. Serjev,Russia,(unknown),(unknown),"Russia, (unknown)-(unknown)",Train Schedule Diagram,1854,"Map, Schedule, Freight Tariffs","Graphic representation of a train schedule for 35 railways stations, between St. Petersburg and Moscow. Top panel contains altitude above the Baltic Sea. Rediscovered in 1993 by Bart Bielawski.",SCHEDULE DIAGRAM,http://chance.amstat.org/2013/02/stiglers-law/,minard1,snow,-90.42%,-46.72%
smith,R,images/og/smith.png,William Smith,England,1769,1839,"England, 1769-1839",A Delineation of the Strata,1815,of England & Wales with Part of Scotland,"The first nationwide geological map, setting the pattern for geological cartography, and founding stratigraphic geology.",NATIONAL GEOLOGIC MAP,https://en.wikipedia.org/wiki/William_Smith_(geologist),humboldt1,brandes,-62.36%,-74.58%
snow,L,images/og/snow.png,John Snow,England,1813,1858,"England, 1813-1858",Cholera Map,1855,On the Mode of Communication of Cholera,"Use of a map to display epidemiological data. Used to communicate the nature of the disease by highlighting the source of the 1854 Broad Street cholera epidemic, especially in the 2nd edition which included a Voronoi area around the pump.",EPIDEMIOLOGY,https://books.google.com/books?id=-N0_AAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,serjev,mccallum,-80.74%,-45.35%
speed,R,images/og/speed.png,John Speed,England,1552,1629,"England, 1552-1629",The West-Road from London to Bristol,1676,and Its Branches to Several of the Principal Towns,"Map roads consist of stacks of place names, showing relative distance. The title West-Road runs up the spine of the page from London.",TABLE MAP,https://en.wikipedia.org/wiki/John_Speed#Works,ogilby,adams,-116.86%,-82.45%
vauthier,L,images/og/vauthier.png,Louis-Léger Vauthier,France,1845,1901,"France, 1845-1901",Population Contour Map,1874,Paris,"Population density shown by contours, an early statistical (non-geographic variable) use of a contour map.",POPULATION CONTOUR,https://en.wikipedia.org/wiki/Louis-L%C3%A9ger_Vauthier,walker2,mayr1,-80.15%,-28.32%
venn1,L,images/og/venn1.png,John Venn,England,1834,1923,"England, 1834-1923",Diagrammatic & Mechanical Representation,1880,of Propositions and Reasonings,"Popularized diagrammatic representation of logical propositions and relations. Venn himself referred to his diagrams as ""Eulerian Circles.""",VENN DIAGRAM,https://books.google.com/books?id=k68vAQAAIAAJ&dq=On%20the%20Diagrammatic%20and%20Mechanical%20Representation%20of%20Propositions%20and%20Reasonings&pg=PA2#v=onepage&q=euler&f=false,perozzo,venn2,-104.24%,-15.86%
venn2,L,images/og/venn2.png,John Venn,England,1834,1923,"England, 1834-1923",Diagrammatic & Mechanical Representation,1880,of Propositions and Reasonings,"Popularized diagrammatic representation of logical propositions and relations. Venn himself referred to his diagrams as ""Eulerian Circles.""",VENN DIAGRAM,https://books.google.com/books?id=k68vAQAAIAAJ&dq=On%20the%20Diagrammatic%20and%20Mechanical%20Representation%20of%20Propositions%20and%20Reasonings&pg=PA2#v=onepage&q=euler&f=false,venn1,marey1,-101.12%,-11.71%
walker1,L,images/og/walker1.png,Francis Amasa Walker,USA,1840,1897,"USA, 1840-1897",Distribution by Age and Sex,1874,Statistical Atlas of the United States,Age pyramid (bilateral histogram).,AGE PYRAMID,https://www.census.gov/library/publications/1872/dec/1870e.html,galton2,walker2,-91.07%,-29.22%
walker2,L,images/og/walker2.png,Francis Amasa Walker,USA,1840,1897,"USA, 1840-1897",Principal Constituent Elements,1874,Statistical Atlas of the United States,The use of subdivided squares to show the division of population by two variables jointly (an early mosaic display).,CENSUS TREE DIAGRAM,https://www.census.gov/library/publications/1872/dec/1870e.html,walker1,vauthier,-92.78%,-25.32%
woodbridge,R,images/og/woodbridge.png,William C. Woodbridge,USA,1794,1845,"USA, 1794-1845",Isothermal Chart,1823,or View of Climates & Production,"First world isothermal chart. Woodbridge was quick to incorporate the latest scientific and educational ideas, here expanding on Humboldt's concept of isotherms to show the relationship of mean annual temperatures to world climates and crops.",WORLD ISOTHERMS,https://en.wikipedia.org/wiki/William_Channing_Woodbridge#Travel_to_Europe,fourier,gardner,-94.66%,-54.24%
zeuner,L,images/og/zeuner.png,Gustav Zeuner,Germany,1828,1907,"Germany, 1828-1907","Set of the Living, Dead",1869,"Treatises from Mathematical Statistics, Fig. 1","Three-dimensional population surface or ""stereogram'' comparing births, mortality, and census year. One of 27 graphs in this work.",STEREOGRAM,http://www.demogr.mpg.de/papers/workshops/000828_paper02.pdf,minard2,mendeleev,-127.82%,-31.10%
