slug,side,original,name,country,born,died,life,work,workDate,subtitle,paragraph,tag,link,priorSlug,nextSlug,spotTop,spotLeft
vauthier,L,/adventures/scroll/images/og/vauthier.png,Louis-Leger Vauthier,France,1845,1901,"France, 1845-1901",Population Contour Map,1874,Paris,"Population density shown by contours, an early statistical (non-geographic variable) use of a contour map.",POPULATION CONTOUR,https://en.wikipedia.org/wiki/Louis-L%C3%A9ger_Vauthier,walker2,mayr1,-119.43%,-27.43%
mayr1,L,/adventures/scroll/images/og/mayr1.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",Journal of the Royal Bavarian Statistical Bureau,1874,Figure VII: Line charts in circles,Early use of polar diagram for data representation.,POLAR DIAGRAM,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA3#v=onepage&q&f=true,vauthier,mayr2,-131.46%,-30.09%
mayr2,L,/adventures/scroll/images/og/mayr2.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",Journal of the Royal Bavarian Statistical Bureau,1874,Figure XII: Flat charts in polgon,Early use of star plot for data representation.,STAR PLOT,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA3#v=onepage&q&f=true,mayr1,mayr3,-133.72%,-26.35%
mayr3,L,/adventures/scroll/images/og/mayr3.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925",Journal of the Royal Bavarian Statistical Bureau,1874,Figure VIII: Flat diagram with subdivisions,"Early use of proportional, divided square in the modern (mosaic) form for data representation.",MOSAIC PLOT,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA3#v=onepage&q&f=true,mayr2,mayr4,-138.37%,-31.72%
mayr4,L,/adventures/scroll/images/og/mayr4.png,Georg von Mayr,Germany,1841,1925,"Germany, 1841-1925","Journal of the Royal Bavarian Statistical Bureau",1874,"Figure XIX (Horses, Cattle)",Two variable color map showing the joint density of horses (red) and cattle (green) in Bavaria.,BIVARIABLE COLOR MAP,https://books.google.com/books?id=ICJlAAAAcAAJ&dq=%22Gutachten%20Uber%20die%20Anwendung%20der%20Graphischen%20und%20Geographischen%22&pg=PA42-IA7#v=onepage&q&f=true,mayr3,galton3,-138.89%,-26.99%
galton3,L,/adventures/scroll/images/og/galton3.png,Francis Galton,England,1822,1911,"England, 1822-1911",Regression towards mediocrity in hereditary stature,1875,Diagram based on Table I,"Galton's first illustration of the idea of correlation, using sizes of the seeds of mother and daughter plants.",CORRELATION,https://en.wikipedia.org/wiki/Francis_Galton#Correlation_and_regression,mayr4,lexis,-65.66%,-14.22%
lexis,L,/adventures/scroll/images/og/lexis.png,Wilhelm Lexis,Germany,1837,1914,"Germany, 1837-1914",Introduction to the Theory of Population Statistics,1875,Einleitung in die Theorie der Bevolkerungsstatistik,"""Lexis diagram"" showing relations among age, calendar time, and life spans of individuals simultaneously. Created at a time when multiple demographers were making similar charts.",LEXIS DIAGRAM,https://en.wikipedia.org/wiki/Wilhelm_Lexis#Lexis_diagram,galton3,bowditch,-68.47%,-9.11%
bowditch,L,/adventures/scroll/images/og/bowditch.png,Henry Pickering Bowditch,USA,1840,1911,"USA, 1840-1911",Board of Health of the State of Massachusetts,1877,Relation of height to weight in Boston schoolboys,"Extensive survey of 24,500 children. Early ideas of correlation and curvilinear regression across many charts.",CURVILINEAR REGRESSION,https://books.google.com/books?id=EJjP2UX1tLAC&pg=PA191&lpg=PA191&dq=bowditch+height+chart&source=bl&ots=OEstdQHXPC&sig=Tp-jlKzWMoZaUv5ZXRMdKzF8HvM&hl=en&sa=X&ved=0ahUKEwiTi6Dk0IzWAhUjwlQKHXc1CeUQ6AEIRDAI#v=onepage&q=bowditch%20height%20chart&f=false,lexis,muybridge,-71.27%,-14.24%
muybridge,L,/adventures/scroll/images/og/muybridge.png,Eadweard Muybridge,England,1830,1904,"England, 1830-1904",The Horse in Motion,1878,"""Sallie Gardner,"" owned by Leland Stanford",Photographic series Horse In Motion was an early example of both small multiples and photo dataviz.,PHOTO VIZ,https://en.wikipedia.org/wiki/Eadweard_Muybridge#Stanford_and_horse_gaits,bowditch,perozzo,-78.35%,-13.31%
perozzo,L,/adventures/scroll/images/og/perozzo.png,Luigi Perozzo,Italy,1856,1916,"Italy, 1856-1916",Absolute Number of Live Male Births,1879,Numero Assoluto dei Nati Vivi Maschi,"Stereogram (three-dimensional population pyramid) modeled on actual data (Swedish census, 1750-1875).",EMPIRICAL STEREOGRAM,https://books.google.com/books?id=zzCiSJoohuQC&pg=PA30&lpg=PA30&dq=perozzo+stereogram&source=bl&ots=hxECQaYgf0&sig=U_WpIB1LZOnmQvsYR3TneM82Hk4&hl=en&sa=X&ved=0ahUKEwjzstDW14zWAhVKiFQKHRMqB1wQ6AEIUjAO#v=onepage&q=perozzo%20stereogram&f=false,muybridge,venn1,-89.63%,-10.05%
venn1,L,/adventures/scroll/images/og/venn1.png,John Venn,England,1834,1923,"England, 1834-1923",On the Diagrammatic and Mechanical Representation,1880,of Propositions and Reasonings,"Popularized diagrammatic representation of logical propositions and relations. Venn himself referred to his diagrams as ""Eulerian Circles"".",VENN DIAGRAM,https://books.google.com/books?id=k68vAQAAIAAJ&dq=On%20the%20Diagrammatic%20and%20Mechanical%20Representation%20of%20Propositions%20and%20Reasonings&pg=PA2#v=onepage&q=euler&f=false,perozzo,venn2,-94.85%,-15.32%
venn2,L,/adventures/scroll/images/og/venn2.png,John Venn,England,1834,1923,"England, 1834-1923",On the Diagrammatic and Mechanical Representation,1880,of Propositions and Reasonings,"Popularized diagrammatic representation of logical propositions and relations. Venn himself referred to his diagrams as ""Eulerian Circles"".",VENN DIAGRAM,https://books.google.com/books?id=k68vAQAAIAAJ&dq=On%20the%20Diagrammatic%20and%20Mechanical%20Representation%20of%20Propositions%20and%20Reasonings&pg=PA2#v=onepage&q=euler&f=false,venn1,marey1,-97.59%,-11.54%
marey1,L,/adventures/scroll/images/og/marey1.png,Etienne-Jules Marey,France,1830,1904,"France, 1830-1904",Flight of a Pelican,1882,Chronophotographic illustration,"Invention of chronophotographic gun, the precursor of motion-picture camera. It recorded a series of 12 consecutive frames a second, with all the frames recorded on the same picture. Used to study natural motion of animals and people. Early photoViz.",PHOTO VIZ,https://en.wikipedia.org/wiki/%C3%89tienne-Jules_Marey#Chronophotography,venn2,mulhall,-101.97%,-17.38%
mulhall,L,/adventures/scroll/images/og/mulhall.png,Michael George Mulhall,Ireland,1836,1900,"Ireland, 1836-1900","Railways, capital employed 1882",1884,Dictionary of Statistics,Pictogram used to represent data by sizing icons proportional to a number. One of many fun figures across this clever dictionary.,PICTOGRAM,https://archive.org/stream/mulhallsdiction00unkngoog#page/n413/mode/2up,marey1,ocagne,-105.61%,-11.06%
ocagne,L,/adventures/scroll/images/og/ocagne.png,Maurice d' Ocagne,France,1862,1938,"France, 1862-1938",Parallel & axial coordinates,1884,Coordonnees Paralleles & Axiales,"First alignment diagrams. Uses sets of parallel axes, rather than axes at right angles, in development of the essential ideas used in parallel coordinates plots.",ALIGNMENT DIAGRAM,https://books.google.com/books?id=gIoLAAAAYAAJ&dq=d%27Ocagne%201885&pg=PA1#v=onepage&q&f=false,mulhall,marey2,-110.62%,-11.97%
marey2,L,/adventures/scroll/images/og/marey2.png,Etienne-Jules Marey,France,1830,1904,"France, 1830-1904",Fig. 5 - Chart of train operation on a railway,1885,The graphical method,With engineer Ibry. Graphic representation of a train schedule showing rate of travel along the route from Paris to Lyon. Recent evidence suggests that Lt. Sergev had developed this method approximately 30 years earlier in Russia.,TRAIN SCHEDULE DIAGRAM,http://chance.amstat.org/2013/02/stiglers-law/,ocagne,cheysson,-113.98%,-17.98%
cheysson,L,/adventures/scroll/images/og/cheysson.png,Emile Cheysson,France,1836,1910,"France, 1836-1910",Acceleration of Trips in France ,1888,Across 200 Years,"First cartogram, using a deformation of spatial size to show a quantitative variable: the decrease in time to travel from Paris to various places in France over 200 years.",CARTOGRAM,https://en.wikipedia.org/wiki/%C3%89mile_Cheysson,marey2,sankey,-118.44%,-11.86%
sankey,L,/adventures/scroll/images/og/sankey.png,Matthew Henry Phineas Riall Sankey,Ireland,1853,1926,"Ireland, 1853-1926",The Thermal Efficiency of Steam-Engines,1898,Proceedings of The Institution of Civil Engineers,Used Sankey diagram named (but not invented by him) in a figure showing the energy efficiency of a steam engine.,SANKEY DIAGRAM,https://en.wikipedia.org/wiki/Matthew_Henry_Phineas_Riall_Sankey#Sankey_diagram,cheysson,booth,-125.66%,-11.42%
booth,L,/adventures/scroll/images/og/booth.png,Charles Booth,England,1840,1916,"England, 1840-1916",London Poverty Map,1899,Inquiry into Life and Labour in London,"Early example of social cartography, each street is colored to indicate the income and social class of its inhabitants. Updated and expanded 1889 first edition to 12 sheets total. Published  in the survey volumes between 1902 and 1903.",POVERTY MAP,https://booth.lse.ac.uk/map/14/-0.1174/51.5064/100/0,sankey,dubois,-125.77%,-18.19%
dubois,L,/adventures/scroll/images/og/dubois.png,W.E.B. Du Bois,USA,1868,1963,"USA, 1868-1963",City and Rural Population 1890,1900,The Exhibit of American Negroes,Spiral diagram highlights the dramatic majority of Geogia African Americans who live outside cities.,DU BOIS SPIRAL,https://medium.com/@Elijah_Meeks/how-to-remake-historical-data-visualization-and-why-you-should-c25874fc4804,booth,bowley,-134.45%,-14.97%
bowley,L,/adventures/scroll/images/og/bowley.png,Arthur L. Bowley,England,1869,1957,"England, 1869-1957",Exports from England and Ireland,1901,Elements of Statistics,"Early statistical textbook with graphical analysis of time-series data showing that while the initial series showed wide variability, moving averages made the series progressively smoother.",MOVING AVERAGE,https://books.google.com/books?id=zHB1R1rCMTEC&printsec=frontcover#v=snippet&q=%22So%20far%20our%20discussion%20of%20Bowley's%20books%22&f=false,dubois,maunder,-134.61%,-11.33%
maunder,L,/adventures/scroll/images/og/maunder.png,Edward Walter Maunder,England,1851,1928,"England, 1851-1928",Distribution of Spot Centres in Latitude,1904,with Annie Maunder,"Use of the ""butterfly diagram'' to study the variation of sunspots over time, leading to the discovery that they were markedly reduced in frequency from 1645-1715 (later named the Maunder minimum').",BUTTERFLY DIAGRAM,https://en.wikipedia.org/wiki/Edward_Walter_Maunder#Solar_observations,bowley,close,-140.21%,-16.61%
